project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
VCS1915,Ombepo Wind,Namibia,renewable-energy,verra,registered,39987.0,129670.0,89683.0
GLD11306,Improved Cookstove and Safe Water Programme - Nigeria - VPA 48,Nigeria,fuel-switching,gold-standard,unknown,39949.0,39949.0,0.0
ACR593,NMMC1,United States,ghg-management,american-carbon-registry,active,39843.0,46747.0,6904.0
CAR574,Berkeley County Landfill Gas Project,United States,ghg-management,climate-action-reserve,registered,39732.0,75569.0,35837.0
GLD6116,Improved Cookstoves Project Activity in Honduras “Vida Mejor con Ecofogones de Alto Rendimiento” – CPA No 009,Honduras,fuel-switching,gold-standard,unknown,39708.0,58416.0,18708.0
GLD756,Efficient Fuel Wood Cooking Stoves Project in Foothills and Plains of Central Region of Nepal,Nepal,fuel-switching,gold-standard,unknown,39672.0,39672.0,0.0
GLD11656,Implementation of clean energy technology in rural areas of India-2 ,India,ghg-management,gold-standard,unknown,39579.0,113671.0,74092.0
VCS1883,Pichacay Landfill Gas Renewable Energy Project,Ecuador,ghg-management,verra,registered,39566.0,81249.0,41683.0
GLD458,Univanich Lamthap POME Biogas Project,Thailand,ghg-management,gold-standard,unknown,39519.0,39519.0,0.0
GLD11152,GS10959 VPA09 Safe Water Project in Bangladesh III,Bangladesh,energy-efficiency,gold-standard,unknown,39451.0,48966.0,9515.0
ACR651,CH4 - BWM Carbon Capture Project 1,United States,ghg-management,american-carbon-registry,active,39390.0,64213.0,24823.0
GLD3519,GS1340 Efficient cookstoves in Burkina Faso - VPA-05 - tiipaalga F3PA cookstoves in Bam and Loroum,Burkina Faso,fuel-switching,gold-standard,unknown,39389.0,63836.0,24447.0
VCS4544,Al Multaqa Landfill Gas Recovery Project,Oman,ghg-management,verra,registered,39229.0,39229.0,0.0
CAR1178,Open Sky Ranch Dairy Digester,United States,ghg-management,climate-action-reserve,completed,39169.0,62741.0,23572.0
GLD3668,GS2404 International Water Purification Programme - CPA 3 Chlorine Dispensers in Uganda,Uganda,energy-efficiency,gold-standard,unknown,39083.0,39083.0,0.0
GLD2445,GS2445  GS1265  African Biomass Energy Conservation PoA  Malawi Biomass Conservation (3),Malawi,fuel-switching,gold-standard,unknown,39025.0,287525.0,248500.0
VCS666,Gansu Zhangye Heihe Longhui Small Scale Hydropower Project,China,renewable-energy,verra,registered,39023.0,255313.0,216290.0
GLD11855,Improved Woodstove Project 2 in Udaipur ,India,fuel-switching,gold-standard,unknown,38990.0,66620.0,27630.0
GLD11282,Improved Cookstove and Safe Water Programme – Nigeria – VPA 24 ,Nigeria,energy-efficiency,gold-standard,unknown,38973.0,135693.0,96720.0
GLD11284,Improved Cookstove and Safe Water Programme – Nigeria – VPA 26 ,Nigeria,energy-efficiency,gold-standard,unknown,38707.0,141660.0,102953.0
CAR1340,"Optima KV, LLC",United States,ghg-management,climate-action-reserve,registered,38641.0,68536.0,29895.0
ACR223,Transformer Oil Reclamation Project,United States,energy-efficiency,american-carbon-registry,completed,38610.0,378561.0,339951.0
GLD10982,Improved Cooking Stoves in Bangladesh – CPA No.19 “SZ Consultancy Services Ltd.”,Bangladesh,fuel-switching,gold-standard,unknown,38600.0,102584.0,63984.0
VCS586,GE Teobaldo Ceramic Fuel Switching Project,Brazil,fuel-switching,verra,registered,38540.0,40197.0,1657.0
GLD10712,MIVO Energie - Enabling LPG access for cooking in Togo,Togo,fuel-switching,gold-standard,unknown,38531.0,38531.0,0.0
CAR1858,Biorodal: Carbono Forestal Otilio Montaño,Mexico,forest,climate-action-reserve,registered,38395.0,38395.0,0.0
VCS3282,Solid Waste Management Project at Moradabad,India,fuel-switching,verra,registered,38388.0,38388.0,0.0
ACR458,Bluesource - Haida Improved Forest Management Project,United States,forest,american-carbon-registry,active,38365.0,362722.0,324357.0
GLD10809,Grid-connected Solar PV project in Kael,Senegal,renewable-energy,gold-standard,unknown,38321.0,70422.0,32101.0
VCS4157,Installation of high efficiency wood burning cookstoves in Tanzania - Project 3,Tanzania,fuel-switching,verra,registered,38301.0,51259.0,12958.0
CAR1464,"Carbono, Agua y Biodiversidad Indígena San Bartolomé",Mexico,forest,climate-action-reserve,registered,38294.0,88239.0,49945.0
VCS97,Yanling Shendu Hydropower Project,China,renewable-energy,verra,registered,38243.0,124259.0,86016.0
ACR607,Deep Mine 26 Abandoned Mine Methane Recovery Project,United States,ghg-management,american-carbon-registry,active,38098.0,129596.0,91498.0
GLD7595,GS7591 VPA 10 Northern Uganda Safe Water Project,Uganda,energy-efficiency,gold-standard,unknown,38096.0,38096.0,0.0
CAR1662,A-Gas 1-2023,United States,ghg-management,climate-action-reserve,completed,38056.0,70833.0,32777.0
GLD7504,CPA-KE-008 KISUMU ,Kenya,ghg-management,gold-standard,unknown,37959.0,37959.0,0.0
VCS1734,Large scale grid connected solar PV Project in Toujounine (Nouakchott),Mauritania,renewable-energy,verra,registered,37956.0,277465.0,239509.0
VCS2593,Botou Hengjie MSW landfill site LFG comprehensive utilization project,China,ghg-management,verra,registered,37890.0,37890.0,0.0
CAR627,Charlotte County Zemel Road Landfill Gas Capture Project,United States,ghg-management,climate-action-reserve,completed,37890.0,92824.0,54934.0
GLD12015,Safe Water in Uganda,Uganda,energy-efficiency,gold-standard,unknown,37886.0,37886.0,0.0
ACR572,Pattiki 2 Abandoned Mine Methane Recovery Project,United States,ghg-management,american-carbon-registry,active,37836.0,112010.0,74174.0
GLD5336,GS1247 VPA 96 Improved Kitchen Regimes Multi-Country PoA - Dowa & Kasungu Boreholes Malawi,Malawi,energy-efficiency,gold-standard,unknown,37833.0,54882.0,17049.0
GLD12251,Improved Cookstove and Safe Water Programme – Kenya - VPA 49,Kenya,energy-efficiency,gold-standard,unknown,37828.0,37828.0,0.0
VCS2944,Clean Cookstoves for Rural India,India,fuel-switching,verra,registered,37827.0,870015.0,832188.0
VCS471,"The Bogeda 40.5 MW Wind-Farm Project in Urumqi, Xinjiang, China",China,renewable-energy,verra,unknown,37808.0,107206.0,69398.0
GLD11304,Improved Cookstove and Safe Water Programme – Kenya – VPA 46,Kenya,energy-efficiency,gold-standard,unknown,37703.0,58456.0,20753.0
