project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
CAR1415,"Carbono, Agua y Biodiversidad Indígena Capulálpam",Mexico,forest,climate-action-reserve,registered,1811.0,23424.0,21613.0,2021.0,4.0,1.0,1811.0,4.454178360321165e-05,0.13043478260869565,0.8695652173913043,0.6478394494916027
CAR1593,Proyecto Forestal de Carbono Ejido Madera,Mexico,forest,climate-action-reserve,registered,1513.0,19555.0,18042.0,2021.0,4.0,1.0,1513.0,3.7204331135684246e-05,0.13043478260869565,0.8695652173913043,0.6478372482558624
CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,United States,land-use,climate-action-reserve,registered,1490.0,69843.0,68353.0,2021.0,4.0,1.0,1490.0,3.663801769020394e-05,0.13043478260869565,0.8695652173913043,0.6478370783618288
VCS1081,"Clean Energy Generation in Gujarat, India",India,renewable-energy,verra,registered,1468.0,188634.0,187166.0,2021.0,4.0,1.0,1468.0,3.609632656844017e-05,0.13043478260869565,0.8695652173913043,0.6478369158544923
VCS1971,SAKAL SOLAR FARM,Senegal,renewable-energy,verra,registered,1448.0,127940.0,126492.0,2021.0,4.0,1.0,1448.0,3.560388009410948e-05,0.13043478260869565,0.8695652173913043,0.6478367681205499
CAR1531,"Carbono, Agua y Biodiversidad Indígena Jaltianguis",Mexico,forest,climate-action-reserve,registered,1365.0,17651.0,16286.0,2021.0,4.0,1.0,1365.0,3.356022722563708e-05,0.13043478260869565,0.8695652173913043,0.6478361550246894
VCS713,KOYULHISAR HYDRO ELECTRICITY POWER PLANT,Türkiye,renewable-energy,verra,registered,1305.0,780835.0,779530.0,2021.0,4.0,1.0,1305.0,3.208288780264499e-05,0.13043478260869565,0.8695652173913043,0.6478357118228626
VCS1794,Interwaste Landfill gas Grouped Project,South Africa,ghg-management,verra,registered,1289.0,147124.0,145835.0,2021.0,4.0,1.0,1289.0,3.1688930623180425e-05,0.13043478260869565,0.8695652173913043,0.6478355936357088
CAR1352,Xahuayalulco - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,1266.0,6776.0,5510.0,2021.0,4.0,1.0,1266.0,3.1122617177700125e-05,0.13043478260869565,0.8695652173913043,0.647835423741675
VCS1480,"Wind power project in Maharashtra, India - Andhra Lake Phase - I",India,renewable-energy,verra,registered,1266.0,953135.0,951869.0,2021.0,4.0,1.0,1266.0,3.1122617177700125e-05,0.13043478260869565,0.8695652173913043,0.647835423741675
CAR1333,Captura de Carbono San Bartolo O2,Mexico,forest,climate-action-reserve,registered,1144.0,14806.0,13662.0,2021.0,4.0,1.0,1144.0,2.8118693684282864e-05,0.13043478260869565,0.8695652173913043,0.6478345225646269
CAR1521,Captura de carbono forestal en el ejido San Francisco Oxtotilpan,Mexico,forest,climate-action-reserve,registered,1118.0,14459.0,13341.0,2021.0,4.0,1.0,1118.0,2.7478513267652955e-05,0.13043478260869565,0.8695652173913043,0.647834330510502
CAR1377,Proyecto de Captura de Carbono Forestal en Bienes Comunales de Santiago Tlacotepec,Mexico,forest,climate-action-reserve,registered,1111.0,14126.0,13015.0,2021.0,4.0,1.0,1111.0,2.730615700163721e-05,0.13043478260869565,0.8695652173913043,0.6478342788036222
